,LOT,Margin,SYMBOL,,,
COLPAL.NS,350,622772.5,COLPAL.NS,,COLGATE-PALMOLIVE (INDIA) LIMITED (XNSE:COLPAL)," ₹ 1,779.35 "
COROMANDEL.NS,700,672490,COROMANDEL.NS,,COROMANDEL INTERNATIONAL LIMITED (XNSE:COROMANDEL), ₹ 960.70 
CROMPTON.NS,1800,523350,CROMPTON.NS,,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED (XNSE:CROMPTON), ₹ 290.75 
DABUR.NS,1250,715875,DABUR.NS,,DABUR INDIA LIMITED (XNSE:DABUR), ₹ 572.70 
DALBHARAT.NS,500,1050600,DALBHARAT.NS,,DALMIA BHARAT LIMITED (XNSE:DALBHARAT)," ₹ 2,101.20 "
INDIGO.NS,300,801480,INDIGO.NS,,INTERGLOBE AVIATION LIMITED (XNSE:INDIGO)," ₹ 2,671.60 "
DEEPAKNTR.NS,300,596055,DEEPAKNTR.NS,,DEEPAK NITRITE LIMITED (XNSE:DEEPAKNTR)," ₹ 1,986.85 "
DELTACORP.NS,2800,677460,DELTACORP.NS,,DELTA CORP LIMITED (XNSE:DELTACORP), ₹ 241.95 
DLF.NS,1650,827557.5,DLF.NS,,DLF Limited (XNSE:DLF), ₹ 501.55 
INFY.NS,400,531660,INFY.NS,,INFOSYS LIMITED (XNSE:INFY)," ₹ 1,329.15 "
DRREDDY.NS,125,644368.75,DRREDDY.NS,,DR.REDDY'S LABORATORIES LTD (XNSE:DRREDDY)," ₹ 5,154.95 "
ESCORTS.NS,275,628608.75,ESCORTS.NS,,Escorts Kubota Limited (XNSE:ESCORTS)," ₹ 2,285.85 "
MARUTI.NS,100,973630,MARUTI.NS,,MARUTI SUZUKI INDIA LIMITED (XNSE:MARUTI)," ₹ 9,736.30 "
FEDERALBNK.NS,5000,669500,FEDERALBNK.NS,,THE FEDERAL BANK LTD (XNSE:FEDERALBNK), ₹ 133.90 
MCDOWELL-N.NS,700,640430,MCDOWELL-N.NS,,United Spirits Limited (XNSE:MCDOWELL-N), ₹ 914.90 
GAIL.NS,9150,996892.5,GAIL.NS,,GAIL (INDIA) LIMITED (XNSE:GAIL), ₹ 108.95 
MFSL.NS,800,647480,MFSL.NS,,Max Financial Services Limited (XNSE:MFSL), ₹ 809.35 
MPHASIS.NS,275,518265,MPHASIS.NS,,MphasiS Limited (XNSE:MPHASIS)," ₹ 1,884.60 "
GLENMARK.NS,1450,962510,GLENMARK.NS,,GLENMARK PHARMACEUTICALS LIMITED (XNSE:GLENMARK), ₹ 663.80 
GMRINFRA.NS,22500,999000,GMRINFRA.NS,,GMR AIRPORTS INFRASTRUCTURE LIMITED (XNSE:GMRINFRA), ₹ 44.40 
GNFC.NS,1300,773955,GNFC.NS,,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED (XNSE:GNFC), ₹ 595.35 
NATIONALUM.NS,7500,625125,NATIONALUM.NS,,NATIONAL ALUMINIUM CO LTD (XNSE:NATIONALUM), ₹ 83.35 
HAL.NS,300,1132935,HAL.NS,,HINDUSTAN AERONAUTICS LIMITED (XNSE:HAL)," ₹ 3,776.45 "
HAVELLS.NS,500,645575,HAVELLS.NS,,HAVELLS INDIA LIMITED (XNSE:HAVELLS)," ₹ 1,291.15 "
HDFCBANK.NS,550,911047.5,HDFCBANK.NS,,HDFC BANK LIMITED (XNSE:HDFCBANK)," ₹ 1,656.45 "
NAUKRI.NS,150,649777.5,NAUKRI.NS,,INFO EDGE (INDIA) LIMITED (XNSE:NAUKRI)," ₹ 4,331.85 "
HEROMOTOCO.NS,300,937110,HEROMOTOCO.NS,,Hero MotoCorp Limited (XNSE:HEROMOTOCO)," ₹ 3,123.70 "
HINDALCO.NS,1400,598990,HINDALCO.NS,,HINDALCO INDUSTRIES LIMITED (XNSE:HINDALCO), ₹ 427.85 
HINDCOPPER.NS,5300,625400,HINDCOPPER.NS,,HINDUSTAN COPPER LTD (XNSE:HINDCOPPER), ₹ 118.00 
HINDPETRO.NS,2700,804600,HINDPETRO.NS,,HINDUSTAN PETROLEUM CORPORATION LIMITED (XNSE:HINDPETRO), ₹ 298.00 
ABBOTINDIA.NS,40,938818,ABBOTINDIA.NS,,ABBOTT INDIA LIMITED (XNSE:ABBOTINDIA)," ₹ 23,470.45 "
IBULHSGFIN.NS,5100,642345,IBULHSGFIN.NS,,INDIABULLS HOUSING FINANCE LIMITED (XNSE:IBULHSGFIN), ₹ 125.95 
ICICIGI.NS,500,671400,ICICIGI.NS,,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED (XNSE:ICICIGI)," ₹ 1,342.80 "
ICICIPRULI.NS,1500,892500,ICICIPRULI.NS,,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED (XNSE:ICICIPRULI), ₹ 595.00 
IEX.NS,3750,463875,IEX.NS,,INDIAN ENERGY EXCHANGE LIMITED (XNSE:IEX), ₹ 123.70 
IGL.NS,1375,664331.25,IGL.NS,,INDRAPRASTHA GAS LIMITED (XNSE:IGL), ₹ 483.15 
INDIACEM.NS,2900,597545,INDIACEM.NS,,THE INDIA CEMENTS LIMITED (XNSE:INDIACEM), ₹ 206.05 
INDIAMART.NS,300,794775,INDIAMART.NS,,INDIAMART INTERMESH LIMITED (XNSE:INDIAMART)," ₹ 2,649.25 "
INDUSTOWER.NS,3400,552500,INDUSTOWER.NS,,Indus Towers Limited (XNSE:INDUSTOWER), ₹ 162.50 
INTELLECT.NS,1300,765505,INTELLECT.NS,,INTELLECT DESIGN ARENA LIMITED (XNSE:INTELLECT), ₹ 588.85 
IOC.NS,9750,949650,IOC.NS,,INDIAN OIL CORPORATION LIMITED (XNSE:IOC), ₹ 97.40 
IPCALAB.NS,650,490782.5,IPCALAB.NS,,IPCA LABORATORIES LIMITED (XNSE:IPCALAB), ₹ 755.05 
IRCTC.NS,875,538912.5,IRCTC.NS,,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED (XNSE:IRCTC), ₹ 615.90 
